manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Fred's Lab,Manatee,Envelope,Filter Cycle,,107,,0,127,,,,,,,,,
Fred's Lab,Manatee,Envelope,Amp Decay,,108,,0,127,,,,,,,,,
Fred's Lab,Manatee,Envelope,Amp Amount,,109,,0,127,,,,,,,,,
Fred's Lab,Manatee,Envelope,Amp Cycle,,110,,0,127,,,,,,,,,
Fred's Lab,Manatee,EQ 1,Model,,111,,0,127,,,,,,,,,
Fred's Lab,Manatee,EQ 1,Center,,112,,0,127,,,,,,,,,
Fred's Lab,Manatee,EQ 1,Gain,,113,,0,127,,,,,,,,,
Fred's Lab,Manatee,EQ 2,Model,,114,,0,127,,,,,,,,,
Fred's Lab,Manatee,EQ 2,Center,,115,,0,127,,,,,,,,,
Fred's Lab,Manatee,EQ 2,Gain,,116,,0,127,,,,,,,,,
Fred's Lab,Manatee,Modulation,M1 Amount,,117,,0,127,,,,,,,,,
Fred's Lab,Manatee,Modulation,M2 Amount,,118,,0,127,,,,,,,,,
Fred's Lab,Manatee,Modulation,M3 Amount,,119,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,All Sounds Off,,120,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,Reset Controllers,,121,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,All Notes Off,,123,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,Omni Off,,124,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,Omni On,,125,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,Mono Mode,,126,,0,127,,,,,,,,,
Fred's Lab,Manatee,System,Poly Mode,,127,,0,127,,,,,,,,,
